Descriptions;rico_id_0;annotation_0;rico_id_1;annotation_1;rico_id_2;annotation_2;rico_id_3;annotation_3;rico_id_4;annotation_4;rico_id_5;annotation_5;rico_id_6;annotation_6;rico_id_7;annotation_7;rico_id_8;annotation_8;rico_id_9;annotation_9;rico_id_10;annotation_10;rico_id_11;annotation_11;rico_id_12;annotation_12;rico_id_13;annotation_13;rico_id_14;annotation_14;rico_id_15;annotation_15;rico_id_16;annotation_16;rico_id_17;annotation_17;rico_id_18;annotation_18;rico_id_19;annotation_19
An app made for navigation.;7007;0;15170;1;15990;1;18953;1;27316;1;28619;1;30748;1;39464;1;40804;1;42014;1;43326;1;46769;1;46771;1;48836;1;48845;0;51024;0;60273;1;61599;1;65779;1;68970;0
A page from a recipe app allowing users to search for recipies in different categories;204;0;3671;1;4781;1;4792;0;4793;0;6391;1;10373;1;10374;0;12361;0;15251;0;23384;0;25186;1;29116;1;37173;1;38660;0;38675;0;45738;0;45740;0;59931;1;70332;1
A page from an App that is a fashion Q&A where others can help one another with different style choices.;4240;0;5462;0;13183;0;15251;0;21544;0;31880;0;31883;0;34503;0;35833;0;40150;0;42120;0;48138;0;51890;0;53486;0;54839;0;55477;0;58089;0;59801;0;60823;0;66963;0
an organisational app GUI, allowing the user to list the grocerys and save recipes;6391;0;10374;0;12361;0;20419;0;21272;0;25123;0;25185;0;25931;1;29951;0;29955;0;30134;0;38660;1;38675;0;42040;0;50386;0;52098;0;53724;1;59911;1;70329;0;70332;0
A alarm app GUI, that allows to download and play multiple audios to use as an alarm.;1877;0;4399;0;5678;0;10127;0;17903;1;25307;1;25320;1;32234;0;35925;0;35927;0;45210;1;47244;0;47248;0;52571;0;57548;0;59743;0;59744;0;61176;0;70077;0;70626;0
A page of an recipe finder, showing pictures of the food;3671;0;6391;0;8167;0;10369;1;12361;0;15251;0;17370;1;19817;0;23090;0;23379;0;25185;0;29116;0;37166;0;38660;0;45738;0;56741;0;59907;0;59931;0;70329;0;72168;0
A weather app GUI that shows the weather forecast for a given city in the following 7 days.;232;0;2894;0;8318;1;11618;0;21589;1;21890;1;25250;0;28346;0;28347;1;28767;0;29887;0;37964;0;42609;0;48737;1;48740;0;48742;1;48751;1;48756;0;60117;1;61561;0
The schedule app shows the upcoming matches of a sportsteam. It states the enemy team, where and when the Game will be and shows the logo of each team.;361;0;5174;0;5177;1;5482;1;19834;0;20376;0;20381;1;30505;0;37033;0;42251;0;42725;1;42736;1;44145;0;48247;1;51968;0;56027;0;57895;0;61592;0;61612;0;68444;1
a page from a language learning app showing common phrases in Spanish and their translations.;12092;0;27151;0;27729;0;27730;0;27731;0;27738;0;27742;0;27745;0;29439;0;29441;0;35612;0;42070;0;45033;0;52365;0;52372;0;59467;0;60912;0;60921;0;60922;0;63794;0
The GUI from a recipe app, showing a picture and the step by step directions for the dish;5258;0;8167;0;10374;0;12361;0;15251;0;21272;0;25185;0;30134;0;35915;0;37166;0;37167;0;38660;0;45732;0;52091;0;59907;0;59920;0;62610;0;62628;0;62629;0;72166;0
A page from map app, showing that in the settings of the map, you can choose to show in the map the natural occurences or disasters which might happen in your daily life.;232;0;240;0;1455;0;1465;0;1467;0;7396;0;8318;0;11060;0;31979;0;32924;0;33156;0;38917;0;41738;0;43609;0;51822;0;58917;0;61568;0;62043;0;62047;0;70023;0
The GUI of a music app for creating your own playlists;494;1;504;0;4157;0;4970;0;4971;0;9981;0;14458;0;15819;0;26477;0;39090;0;40384;0;43522;0;47193;0;47194;0;48662;0;55665;0;55669;0;58693;0;67527;0;70546;0
A page from a recipe app, showing a list of soups.;6391;0;7989;0;10374;0;12361;0;15251;0;19817;0;23379;0;25186;0;29116;0;32477;1;37166;0;38660;0;38675;0;45738;0;45740;0;59839;0;59907;0;59920;0;59931;0;66545;0
A page from an online encyclopedia, allowing the user to search and scroll through different articles.;7957;0;13186;0;20710;0;20711;0;23825;0;26242;0;37722;0;40692;0;44774;0;44778;0;47823;0;50403;0;51562;0;53440;1;60020;0;64372;0;65016;1;67645;0;69598;0;71204;0
This is a music plattform where you can stream music.;494;0;3988;1;4030;1;4160;0;5204;1;5311;0;9111;1;15708;1;23266;0;24092;1;31291;1;38437;0;44512;0;48730;0;62235;1;67533;1;68843;1;70546;1;70552;1;71106;1
A page from a recipe app where different recipes with their estimated time are listed;6391;0;7991;0;10374;0;12361;0;14107;0;15251;0;19817;0;25185;0;25186;1;28638;0;29116;0;30134;0;37166;0;38660;0;45730;0;45738;0;59907;0;62610;0;62629;0;66545;1
A page from a Shopping app, allowing the user buy some discounted products.;476;1;2260;1;2566;0;3787;0;4238;1;5116;0;8287;0;8928;0;23355;0;24735;0;26200;0;33319;0;35833;0;39397;1;44817;0;47015;0;63772;0;64425;0;65611;0;69259;0
A page from a music player app to listen to songs or music albums.;3988;0;4039;0;4970;0;5311;0;9111;0;15819;0;17486;0;29187;0;29188;0;29189;0;38437;0;39686;0;40384;1;53010;1;55665;0;62235;0;66165;0;67533;1;68843;0;70546;1
