query,gui_ranking
Body care products,"[20162, 28737, 28739, 2849, 31801, 31802, 51773, 1397, 53541, 53543, 53548, 53546, 60568, 58748, 4447, 42521, 63384, 63387, 45731, 35997]"
settings and options in a Gym App,"[1010, 54112, 29162, 29156, 33132, 8252, 29160, 2601, 30328, 55121, 2610, 18535, 39830, 66489, 2270, 45959, 2274, 45962, 32997, 45956]"
today storms updates,"[59150, 52327, 71700, 10041, 70890, 37413, 58881, 58873, 50715, 13752, 13984, 23714, 62677, 27988, 54315, 11823, 1095, 1090, 64157, 29528]"
a survery app with sinup and facebook login option,"[18535, 7849, 25374, 15939, 37666, 41917, 57920, 69548, 20931, 4305, 34569, 19704, 19707, 67673, 49338, 49335, 49334, 49336, 49332, 71940]"
down nearby picks,"[31953, 41693, 65194, 50216, 67203, 22258, 61556, 31955, 31964, 69266, 42641, 56082, 48252, 56093, 40197, 67770, 68626, 69276, 61554, 36790]"
screen with sample movies and information on recording with SnapMovie,"[19996, 20000, 20002, 65045, 65046, 65050, 65053, 15197, 15199, 37885, 23149, 67071, 6132, 44923, 44941, 20161, 18719, 71014, 65944, 29107]"
"Filter settings for choosing price range, number of beds and baths","[34423, 2834, 68029, 3089, 50515, 2839, 27833, 68027, 63632, 64989, 65000, 71793, 71794, 64993, 27692, 16889, 71427, 65924, 64988, 65001]"
Details about cards and numbers,"[43707, 56935, 13556, 50395, 20802, 40864, 3813, 46272, 23855, 31170, 62634, 22557, 3769, 28128, 28148, 46278, 68164, 63748, 28955, 37517]"
"search bar with shopping categories, discount advertisement and account maintenance","[64428, 7334, 65757, 33330, 42815, 53884, 22744, 22741, 6911, 64305, 51361, 56464, 35904, 55532, 69527, 4186, 8170, 19345, 10423, 64303]"
home appliances,"[68770, 9286, 9281, 25966, 25962, 40668, 9285, 13575, 59601, 51323, 17689, 1087, 52944, 58913, 30791, 66317, 66313, 66310, 66314, 23920]"
blood test with data entry and unit selection,"[47504, 25151, 37821, 57505, 47501, 19249, 70705, 70706, 28111, 28106, 64939, 39287, 45400, 31788, 15987, 61736, 41104, 41116, 53187, 26562]"
profile window with a button to take a photo or select it from galary,"[1883, 46344, 38348, 28870, 52584, 38814, 36667, 43962, 38290, 13038, 19585, 56078, 29111, 63601, 63599, 12865, 24596, 63652, 14492, 34]"
voice changer with many buttons,"[45268, 60021, 64422, 52821, 52822, 55271, 61544, 27391, 53403, 31727, 61201, 44680, 43372, 38430, 38432, 32898, 45489, 46993, 45162, 18567]"
a list of songs,"[55483, 40380, 40384, 54771, 53287, 53292, 53289, 61572, 26972, 852, 29732, 48993, 9676, 9672, 53282, 47456, 9681, 9680, 9981, 70394]"
Information with sharing and saving option,"[53446, 57917, 61684, 62888, 36879, 3772, 67440, 38513, 31172, 67334, 47400, 42402, 42407, 67673, 7260, 34569, 23149, 49336, 49332, 49344]"
"Shop for Men's,Women's and Kids","[53496, 3495, 9506, 25923, 479, 67659, 24213, 55910, 19033, 12421, 12424, 33044, 34549, 39575, 2453, 3526, 23941, 11267, 17860, 18147]"
