Nummer;Rico ID;Include;Clear Funct.;English;NSFW;Error In GUI;Religious;Too Simple
155;3363;No;Yes;Yes;No;No;No;Yes
262;3386;No;Yes;Yes;Yes;Yes;No;No
35;3790;Yes;Yes;Yes;No;No;No;No
168;4003;Yes;Yes;Yes;No;No;No;No
83;4173;No;No;Yes;No;No;No;Yes
299;4306;No;Yes;Yes;No;No;Yes;Yes
92;4328;Yes;Yes;Yes;No;No;No;No
200;5344;No;No;Yes;No;Yes;No;Yes
110;5797;No;No;Yes;No;Yes;No;Yes
124;6011;No;Yes;Yes;No;No;No;Yes
47;6448;No;No;Yes;No;No;No;Yes
82;6504;No;No;Yes;Yes;No;No;Yes
160;6705;Yes;Yes;Yes;No;No;No;No
276;6992;No;Yes;Yes;No;No;No;Yes
101;7028;No;Yes;Yes;No;No;Yes;Yes
150;7144;No;Yes;Yes;No;No;No;Yes
185;7376;No;Yes;Yes;No;No;No;Yes
288;7749;No;Yes;Yes;No;No;No;Yes
147;7927;No;Yes;Yes;No;No;No;Yes
324;8058;Yes;Yes;Yes;No;No;No;No
210;8122;Yes;Yes;Yes;No;No;No;No
59;8457;No;Yes;Yes;No;No;No;Yes
100;8529;No;Yes;Yes;No;No;No;Yes
336;8610;Yes;Yes;Yes;No;No;No;No
73;8925;Yes;Yes;Yes;No;No;No;No
241;9041;No;Yes;Yes;No;Yes;No;No
52;9082;No;No;Yes;No;No;No;Yes
14;9470;No;No;Yes;No;No;No;Yes
12;10054;No;Yes;Yes;No;No;No;Yes
42;10063;No;No;Yes;No;No;No;Yes
70;10086;No;No;Yes;No;No;No;Yes
128;10089;No;Yes;Yes;No;No;No;Yes
23;10301;No;Yes;Yes;No;No;No;Yes
273;10409;No;Yes;No;No;No;No;Yes
277;10428;Yes;Yes;Yes;No;No;No;No
344;10587;No;Yes;Yes;No;Yes;No;No
206;10622;No;Yes;Yes;No;No;No;Yes
26;11075;No;No;No;No;No;No;No
220;11194;No;Yes;Yes;No;No;No;Yes
144;11579;Yes;Yes;Yes;No;No;No;No
333;11677;No;No;Yes;No;No;No;Yes
53;11683;No;Yes;Yes;No;No;No;Yes
261;11762;No;Yes;Yes;No;No;No;Yes
103;11811;No;Yes;Yes;No;No;Yes;Yes
190;12025;No;Yes;Yes;No;No;No;Yes
238;12074;No;Yes;Yes;No;No;No;Yes
257;12905;Yes;Yes;Yes;No;No;No;No
270;12920;Yes;Yes;Yes;No;No;No;No
65;13050;Yes;Yes;Yes;No;No;No;No
171;13153;Yes;Yes;Yes;No;No;No;No
334;14066;No;Yes;Yes;No;No;No;Yes
182;14240;No;Yes;Yes;Yes;No;No;Yes
269;14484;No;Yes;Yes;No;No;No;Yes
249;14569;No;Yes;Yes;No;Yes;No;No
136;14661;No;No;Yes;No;No;No;No
320;14854;No;Yes;Yes;No;No;No;Yes
13;14895;No;No;Yes;No;No;No;Yes
267;15126;No;Yes;Yes;No;Yes;No;Yes
234;15163;No;No;Yes;No;No;No;Yes
214;15255;No;Yes;Yes;No;No;No;Yes
252;15261;Yes;Yes;Yes;No;No;No;No
308;15270;No;No;No;Yes;No;No;Yes
87;15521;No;Yes;Yes;No;No;No;Yes
71;15583;No;Yes;Yes;No;Yes;No;Yes
64;15622;No;No;Yes;No;No;No;Yes
311;15809;No;No;No;No;No;No;Yes
78;16180;No;No;No;No;No;No;Yes
163;16600;No;Yes;Yes;No;No;No;Yes
91;17199;No;Yes;Yes;No;No;No;Yes
330;17200;No;Yes;Yes;Yes;No;No;Yes
284;17432;No;Yes;Yes;No;No;No;Yes
228;18082;Yes;Yes;Yes;No;No;No;No
289;18269;No;Yes;Yes;No;No;No;Yes
278;18977;Yes;Yes;Yes;No;No;No;No
191;19028;Yes;Yes;Yes;No;No;No;No
25;19228;No;Yes;Yes;No;No;No;Yes
51;19925;Yes;Yes;Yes;No;No;No;No
60;19926;No;Yes;Yes;No;Yes;No;No
84;20488;No;No;Yes;No;No;No;Yes
312;21070;No;Yes;Yes;No;No;No;Yes
10;21128;No;Yes;Yes;No;No;No;Yes
15;21165;No;No;Yes;No;No;No;Yes
99;21224;No;No;Yes;No;No;No;Yes
90;21807;No;Yes;Yes;No;No;No;Yes
130;22072;Yes;Yes;Yes;No;No;No;No
152;22076;No;No;Yes;No;No;No;Yes
72;22182;No;Yes;Yes;No;No;No;Yes
154;22259;No;No;Yes;No;No;No;Yes
266;22354;No;No;Yes;No;No;No;Yes
232;22514;No;Yes;Yes;No;No;No;Yes
328;22532;No;Yes;Yes;No;No;No;Yes
282;22534;Yes;Yes;Yes;No;No;No;No
138;22840;No;No;Yes;No;No;No;Yes
226;23073;No;Yes;Yes;No;No;No;Yes
230;23128;Yes;Yes;Yes;No;No;No;No
346;23395;No;Yes;Yes;No;No;No;Yes
231;23616;Yes;Yes;Yes;No;No;No;No
264;23627;No;No;Yes;No;No;No;Yes
38;23977;No;Yes;Yes;No;No;No;Yes
325;24041;No;No;No;No;No;No;Yes
143;24174;No;No;Yes;No;No;No;Yes
85;24210;Yes;Yes;Yes;No;No;No;No
339;24301;Yes;Yes;Yes;No;No;No;No
243;24615;No;No;Yes;No;No;No;Yes
236;24737;No;Yes;Yes;No;No;No;Yes
146;24742;No;Yes;Yes;No;Yes;No;Yes
76;24835;No;Yes;No;No;No;No;Yes
298;25416;No;Yes;Yes;No;Yes;No;No
48;25623;Yes;Yes;Yes;No;No;No;No
322;25899;No;Yes;Yes;No;No;No;Yes
345;25948;No;Yes;Yes;No;No;No;Yes
153;26005;Yes;Yes;Yes;No;No;No;No
8;26041;No;Yes;Yes;No;No;Yes;Yes
245;26109;No;Yes;Yes;No;No;No;Yes
274;26270;No;No;Yes;No;No;No;Yes
161;26373;Yes;Yes;Yes;No;No;No;No
196;26458;No;No;Yes;Yes;No;No;No
268;26828;Yes;Yes;Yes;No;No;No;No
323;27680;No;Yes;Yes;No;No;No;Yes
242;27877;No;Yes;Yes;No;No;No;Yes
350;27881;No;Yes;Yes;Yes;No;No;Yes
340;28013;No;No;Yes;Yes;No;No;Yes
44;28271;Yes;Yes;Yes;No;No;No;No
174;28348;No;Yes;Yes;Yes;No;No;No
170;28653;No;No;Yes;No;Yes;No;Yes
19;28798;No;Yes;Yes;No;Yes;No;Yes
295;28918;No;Yes;No;No;No;No;No
167;29039;Yes;Yes;Yes;No;No;No;No
132;29310;No;Yes;Yes;No;No;No;Yes
240;29323;No;Yes;Yes;No;No;No;Yes
74;29356;No;Yes;Yes;No;No;No;Yes
327;29406;No;Yes;Yes;No;No;No;Yes
217;29490;No;Yes;No;No;No;No;Yes
105;29595;No;No;Yes;No;No;No;Yes
304;29637;No;Yes;Yes;No;No;No;Yes
222;29790;Yes;Yes;Yes;No;No;No;No
279;29838;No;Yes;Yes;No;No;No;Yes
212;29983;No;Yes;Yes;No;Yes;No;No
55;30144;No;Yes;Yes;No;No;No;Yes
335;30165;No;Yes;Yes;No;No;No;Yes
321;30906;No;Yes;Yes;No;No;No;Yes
56;31343;No;Yes;Yes;No;No;No;Yes
338;31860;No;No;Yes;No;No;No;Yes
39;32063;No;Yes;Yes;No;No;Yes;Yes
22;32121;No;Yes;No;No;No;No;Yes
32;32411;No;Yes;Yes;No;No;No;Yes
79;32453;No;Yes;Yes;No;No;No;Yes
202;32659;No;Yes;Yes;No;No;No;Yes
94;32708;No;Yes;Yes;No;Yes;No;No
218;32930;Yes;Yes;Yes;No;No;No;No
16;33061;No;Yes;Yes;No;No;No;Yes
305;33226;Yes;Yes;Yes;No;No;No;No
126;33345;No;Yes;Yes;No;No;No;Yes
188;33575;No;Yes;Yes;No;No;No;Yes
20;33770;No;No;Yes;No;Yes;No;Yes
151;33988;No;Yes;Yes;No;No;No;Yes
145;34128;No;Yes;Yes;No;No;No;Yes
331;34365;No;Yes;Yes;No;No;No;Yes
139;34366;Yes;Yes;Yes;No;No;No;No
271;34381;No;Yes;Yes;No;No;Yes;Yes
58;34670;Yes;Yes;Yes;No;No;No;No
315;34712;No;Yes;Yes;No;No;No;Yes
117;34910;No;Yes;Yes;Yes;No;No;Yes
142;34938;Yes;Yes;Yes;No;No;No;No
301;35067;No;No;Yes;No;No;No;Yes
343;35405;No;Yes;Yes;No;Yes;No;No
263;35425;No;No;Yes;No;No;No;Yes
11;35543;No;Yes;Yes;No;Yes;No;No
34;35576;No;No;Yes;No;No;No;Yes
319;35617;No;Yes;Yes;No;No;No;Yes
140;35918;Yes;Yes;Yes;No;No;No;No
223;35996;No;No;Yes;No;No;No;Yes
173;36311;No;Yes;Yes;No;No;No;Yes
211;36668;Yes;Yes;Yes;No;No;No;No
187;36891;No;No;Yes;No;No;No;No
2;36915;Yes;Yes;Yes;No;No;No;No
225;37394;No;Yes;Yes;No;No;No;Yes
120;37791;No;Yes;Yes;No;No;No;Yes
157;38097;No;Yes;Yes;No;No;No;Yes
159;38344;No;Yes;Yes;No;Yes;No;Yes
227;38665;Yes;Yes;Yes;No;No;No;No
310;38729;No;Yes;Yes;No;No;No;Yes
332;38846;No;Yes;Yes;Yes;No;No;Yes
175;39071;No;No;Yes;No;No;No;No
203;39167;Yes;Yes;Yes;No;No;No;No
61;39193;No;Yes;Yes;No;No;No;Yes
7;39605;No;Yes;Yes;No;Yes;No;Yes
149;39860;No;Yes;Yes;No;No;No;Yes
133;40069;No;No;Yes;No;Yes;No;Yes
66;40095;No;No;Yes;No;No;No;Yes
122;40214;No;Yes;Yes;No;Yes;No;No
46;40245;No;No;Yes;No;No;No;Yes
89;40532;No;No;Yes;No;No;No;Yes
291;40549;No;Yes;Yes;No;Yes;No;Yes
183;40659;No;Yes;Yes;No;No;No;Yes
184;40691;No;Yes;Yes;No;No;No;Yes
123;41174;No;Yes;Yes;No;No;No;Yes
41;41544;No;Yes;Yes;No;No;No;Yes
178;41584;No;Yes;Yes;No;No;No;Yes
216;41948;No;Yes;Yes;No;No;No;Yes
265;42028;No;Yes;No;No;No;No;Yes
197;42818;No;Yes;Yes;No;Yes;No;No
88;42825;Yes;Yes;Yes;No;No;No;No
69;43062;Yes;Yes;Yes;No;No;No;No
307;43118;No;Yes;Yes;No;Yes;No;Yes
207;43493;Yes;Yes;Yes;No;No;No;No
250;43645;No;Yes;Yes;No;No;No;Yes
18;43761;No;Yes;Yes;No;Yes;No;Yes
57;43863;No;Yes;Yes;Yes;No;No;Yes
36;43890;No;Yes;Yes;No;No;No;Yes
107;43996;No;Yes;Yes;Yes;No;No;No
208;44143;No;Yes;Yes;No;No;No;Yes
98;44713;No;Yes;Yes;No;No;No;Yes
119;44881;Yes;Yes;Yes;No;No;No;No
290;44885;Yes;Yes;Yes;No;No;No;No
67;44894;Yes;Yes;Yes;No;No;No;No
113;45363;No;Yes;Yes;No;No;Yes;No
186;45437;No;Yes;Yes;No;No;No;Yes
40;45501;No;Yes;Yes;No;No;No;Yes
235;45569;No;Yes;Yes;No;No;No;Yes
349;45600;No;Yes;Yes;No;No;No;Yes
255;45684;No;No;Yes;No;No;No;Yes
17;45737;No;Yes;Yes;No;No;No;Yes
296;45824;No;Yes;Yes;No;No;No;Yes
239;46554;Yes;Yes;Yes;No;No;No;No
95;47087;No;Yes;Yes;No;No;No;Yes
116;47530;No;Yes;Yes;No;No;No;Yes
9;47546;Yes;Yes;Yes;No;No;No;No
135;47890;No;Yes;Yes;No;No;No;Yes
205;47964;No;Yes;Yes;No;No;No;Yes
