"Q_part_1","Q_part_2","Q_part_3","Q_part_4","Q_part_5","Q_part_6","Q_part_7","Q_part_8","Q_part_9","Q_part_10","Q_part_11","Q_part_12","Q_part_13"
8,37,6,56987,6,7,6,7,7,8,6,8,7
19,47,6,69312,6,7,6,7,7,5,5,5,4
14,5,6,11579,6,7,5,7,9,7,7,7,5
29,7,6,14854,6,9,9,9,9,9,9,9,9
4,4,6,10428,6,4,4,3,5,3,3,4,4
13,6,6,12905,6,6,5,5,3,5,6,3,3
7,49,6,71954,6,8,9,8,9,7,8,9,9
8,16,6,32930,6,7,1,6,3,2,3,2,1
11,13,6,28918,6,6,3,4,3,4,3,3,2
8,33,6,51074,6,7,5,7,6,6,6,6,7
12,19,6,34366,6,6,6,5,7,5,1,4,2
13,22,6,37394,6,4,2,3,1,1,2,2,1
29,18,6,33575,6,6,6,5,5,4,2,4,2
18,10,6,23616,6,5,4,4,5,4,2,3,2
19,14,6,29637,6,9,6,7,8,7,8,8,7
2,34,6,51979,6,7,6,6,7,7,5,5,8
4,3,6,7749,6,7,6,7,7,6,6,6,6
5,50,6,72192,6,7,6,7,7,7,7,7,7
17,11,6,24301,6,7,6,7,8,6,7,4,1
11,43,6,65009,6,7,7,7,7,7,6,6,7
2,45,6,66798,6,8,7,7,6,8,6,7,8
3,30,6,47964,6,9,7,8,9,8,6,8,8
22,24,6,41174,6,6,6,5,3,4,5,5,4
28,21,6,35576,6,6,5,6,6,5,6,5,5
3,8,6,18269,6,8,6,7,3,6,6,7,4
5,38,6,59109,6,8,5,6,6,4,7,6,6
4,31,6,49616,6,7,7,7,7,6,7,7,1
10,12,6,28271,6,8,7,7,6,2,7,6,1
26,32,6,50416,6,9,9,9,9,9,9,9,9
21,9,6,19228,6,7,3,6,7,5,6,5,6
15,17,6,33061,6,9,3,9,7,6,9,7,7
27,46,6,68152,6,8,7,9,8,7,9,7,6
2,40,6,61579,6,9,8,7,7,7,6,7,7
15,25,6,41584,6,9,8,8,9,8,7,7,3
18,49,6,71954,6,7,9,7,4,9,4,6,9
