"Q_part_1","Q_part_2","Q_part_3","Q_part_4","Q_part_5","Q_part_6","Q_part_7","Q_part_8","Q_part_9","Q_part_10","Q_part_11","Q_part_12","Q_part_13"
25,26,8,42825,8,8,6,7,7,6,7,7,7
4,3,8,7749,8,6,4,4,3,1,3,2,2
15,6,8,12905,8,6,3,7,9,7,7,7,6
17,39,8,60554,8,9,7,7,7,7,8,8,8
1,35,8,52757,8,7,3,7,6,6,7,6,3
10,21,8,35576,8,7,7,7,7,6,7,7,7
16,34,8,51979,8,8,6,8,7,7,7,7,3
8,13,8,28918,8,5,1,3,3,1,3,2,1
6,29,8,47890,8,9,6,7,6,6,7,7,6
21,26,8,42825,8,9,8,8,8,8,8,8,8
20,14,8,29637,8,7,7,7,7,7,5,4,6
28,37,8,56987,8,6,5,5,5,5,5,4,4
6,10,8,23616,8,5,3,5,7,3,6,4,2
7,15,8,30144,8,7,3,5,6,3,4,4,4
29,34,8,51979,8,6,6,6,6,6,6,6,6
21,13,8,28918,8,8,5,5,6,3,4,3,2
4,29,8,47890,8,6,2,3,2,1,1,2,1
29,37,8,56987,8,9,4,8,8,7,8,7,7
15,21,8,35576,8,9,9,8,7,6,1,9,6
11,15,8,30144,8,2,1,3,3,2,3,3,2
27,3,8,7749,8,5,6,3,7,7,3,7,7
9,35,8,52757,8,9,1,4,7,4,3,5,2
30,24,8,41174,8,7,6,5,7,3,6,7,7
16,14,8,29637,8,7,4,5,7,3,7,4,6
11,10,8,23616,8,8,6,5,6,3,7,6,3
23,39,8,60554,8,7,3,6,3,4,3,4,2
17,35,8,52757,8,3,2,2,3,2,3,3,2
10,39,8,60554,8,9,7,6,6,6,6,7,6
14,24,8,41174,8,6,5,5,6,5,8,5,3
9,21,8,35576,8,7,3,3,6,5,6,5,6
28,13,8,28918,8,8,6,6,7,7,7,6,7
20,34,8,51979,8,4,5,6,5,6,5,6,4
20,10,8,23616,8,7,8,4,4,3,3,4,3
28,42,8,64407,8,7,6,7,7,5,3,4,3
1,26,8,42825,8,6,4,5,7,3,6,5,3
5,6,8,12905,8,8,6,7,8,4,8,7,6
29,42,8,64407,8,8,7,7,6,8,7,7,7
12,24,8,41174,8,8,9,8,9,9,9,9,9
28,42,8,64407,8,8,9,8,9,9,8,8,9
21,37,8,56987,8,6,5,6,4,4,5,6,3
24,29,8,47890,8,8,8,7,6,6,4,6,6
29,15,8,30144,8,6,7,7,6,6,4,6,6
12,6,8,12905,8,7,1,7,7,5,9,6,4
4,14,8,29637,8,7,4,6,7,3,2,5,5
21,3,8,7749,8,6,6,6,4,5,7,4,3
