Comparison,Z,P.unadj,P.adj
Group1_K2 - Group2_K4,-3.623685020479481,2.904352701517102e-4,0.019168727830012874
Group2_K1 - Group2_K4,-3.7681634634608905,1.6445300436438863e-4,0.010853898288049649
Baseline2 - Group3_K1,-3.4334976779087425,5.958473074278554e-4,0.03932592229023845
Group1_K2 - Group3_K1,-4.832651474944617,1.3472653016647273e-6,8.891950990987201e-5
Group2_K1 - Group3_K1,-4.333286697774637,1.4689960525935761e-5,9.695373947117603e-4
Baseline1 - Group3_K2,-4.031695679753147,5.5375862446708794e-5,0.0036548069214827803
Baseline2 - Group3_K2,-4.37800922667782,1.1976828129831992e-5,7.904706565689115e-4
Group1_K1 - Group3_K2,-3.9897026801154327,6.615616879081281e-5,0.004366307140193646
Group1_K2 - Group3_K2,-5.777163023713695,7.597066974528275e-9,5.014064203188662e-7
Group2_K1 - Group3_K2,-4.974955938867979,6.526248262782675e-7,4.307323853436566e-5
Group2_K2 - Group3_K2,-3.514883204910354,4.3994743027004523e-4,0.029036530397822984
Baseline1 - Group3_K3,-4.278505674121211,1.8815219461182627e-5,0.0012418044844380535
Baseline2 - Group3_K3,-4.624819221045884,3.7492525548273927e-6,2.4745066861860793e-4
Group1_K1 - Group3_K3,-4.236512674483496,2.270181118418453e-5,0.001498319538156179
Group1_K2 - Group3_K3,-6.023973018081759,1.7018674989007172e-9,1.1232325492744733e-7
Group2_K1 - Group3_K3,-5.142630311920168,2.7091840076534934e-7,1.7880614450513055e-5
Group2_K2 - Group3_K3,-3.6825575779625437,2.3090569344210815e-4,0.015239775767179138
Baseline1 - Group3_K4,-4.099428696681929,4.1417124323636015e-5,0.002733530205359977
Baseline2 - Group3_K4,-4.445742243606601,8.758891826674982e-6,5.780868605605488e-4
Group1_K1 - Group3_K4,-4.057435697044213,4.961447146245302e-5,0.003274555116521899
Group1_K2 - Group3_K4,-5.844896040642476,5.0688472132401315e-9,3.3454391607384867e-7
Group2_K1 - Group3_K4,-5.020971462581051,5.141079803558988e-7,3.393112670348932e-5
Group2_K2 - Group3_K4,-3.5608987286234255,3.695876184698778e-4,0.024392782819011933
